微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwrkU5DiJ,谈恋爱择偶，不论男女一定要明白一个常识，就是要求高，还容易找，要求多，就很难找到合适的。某一方面90分，其它方面60分，这种人真实存在，所有方面都70分，这种人基本不可能存在。截图里的案例要求对象同时具备四点：1，外形好2，有稳定工作，3，贤惠做家务，4，本科学历以上。他还纳闷自己村里的同龄人，娶得老婆都漂亮贤惠，为什么自己不行？因为谈恋爱这种事，最多只能要求两点，别的不能要求太多了。村里人娶媳妇，基本是没有本科学历也没有稳定工作的，就漂亮，做家务。而且我也是农村人，不知道为啥我的感觉和这人完全不同。一般娶漂亮媳妇，不仅不要求她工作，连家务活都不让做，现在村里家家户户都这样。具备这四样，不存在这种人。而且这个题主，也没有达到每一样都70分。他的所谓性格，不抽烟不喝酒有房，性格温和，就算都达到70分了吧，但是1，外形，估计最多60分，他却想要找外形90分的女孩，2，不爱做家务，这方面0分，却要求找个90分的贤惠女孩，3，钱不多，收入不高，算50分吧，4，家境差，严重拖累，最多20分。这个基本不太可能。女找男其实也是同样一个道理。各方面都要求70分，是非常非常难的。某一个点要求90分，别的五六十分过得去就行，倒是有可能。但就得看你能否接受和包容了。注意，择偶标准，一定是：要高，不要多。不多的那些部分，想办法磨合，能磨合就处，不能磨合就算。                原图                            ,http://wx2.sinaimg.cn/large/94900170gy1gcd9prg384j20u03kx7t5.jpg,无,无,2020-02-29 14:45,微博 weibo.com,5801,184,585
IwrduiZqB,挺好，加油！ 原图,http://wx1.sinaimg.cn/large/94900170ly1gcd977sld1j20u01hcqj3.jpg,无,无,2020-02-29 14:27,iPhone 8 Plus,675,8,76
IwqnamkDr,自我意识过剩是大部分人的通病，本质上所有人都是既自大又自卑的，都无时无刻不在乎自己的存在感。但这个世界上，以人而有权势，基本是不可能的。所有权势，都是以事而有存在感和权势。哪怕生下来，地位权势就远高于人的二三代，一旦事情做差，都会沦为笑柄，甚至失去原本的存在感影响力。他们想要有存在感，也得不断成事。而自我意识这玩意儿，是个魔咒。你在乎它，它会跟着你，你喜欢它，会变的肤浅，愚蠢，你反抗它，会变的阴暗，嫉妒，愚蠢，你刻意掩饰它，会变的敏感，自卑，软弱。只有注意力彻底转移，把自我的评价，他人的评价，各种攀比，转移到具体成事上。我要处理的工作是什么，我要努力完成的任务是什么，我要解决的问题有哪些，哪怕思考宏观，也是：整体流程是什么样，整个行业发展是什么样。这里问题，比以下这些好多了：大家学历都好高，我好自卑，人生有没有瓶颈有没有天花板，我今年23岁，有时想到过去做过的一些事情，现在会觉得无比的沙雕，不喜欢自己，请问一下，这种心理正常吗？以上都是同学们提问的真实问题。为什么会有后者的想法？1，手头的事情没做好，逃避，不想解决，喜欢思考宏大，觉得自己厉害，沉迷错觉不愿醒来，2，无所事事，吃饱了撑的没事干，胡思乱想。                原图                            ,http://wx4.sinaimg.cn/large/94900170gy1gcd5h3j7lnj20k00gpwxe.jpg,无,无,2020-02-29 12:18,微博 weibo.com,1186,438,111
IwqcN7IAN,"奶爸您好，我想跟您说一下我的困惑，希望能得到您的指点。我本科英语，硕士法律，然后前段时间应聘到了一家律所实习，做涉外业务，我在团队中资质最差，大家都是名校生或者海龟，不过领导也没放弃我，我也想弥补差距，但是又觉得有种差得太多了不知道从何补起的感觉，没有自信，也就缺乏了干劲儿。。。可是，我也不想就这样放弃自己想做涉外律师的梦想。大概以前的环境都是当""鸡头""的感觉，现在要当""凤尾""，哎，我该如何摆正自己的心态呢?答：年轻人要多务实，少务虚。务实就是集中精力，去完成老板教给自己的工作，努力探索思考分析公司的流程，解决问题，尽快成熟成长起来。务虚就是在乎学校牌子之类无聊的东西。学校牌子很重要，但仅限于求职时候。你都已经进去了，就不存在什么资质太差的问题，没有区别。沉迷在这种虚拟感觉里，说明又自大又自卑，而且不务正业。正业是每天遇到的工作，要高质量完成，要知其然还要知其所以然。不集中精力思考这些，立刻就开始攀比，公司没评比，名校生忙工作，没人在乎你，自己一个人给自己加戏，上赶着去攀比。建议不想好好工作没有自信缺乏了干劲就主动辞职，把机会让给别人，不要浪费宝贵机会和老板。                原图                            ",http://wx3.sinaimg.cn/large/94900170gy1gcd4qhhnukj21h40u0kjl.jpg,无,无,2020-02-29 11:52,微博 weibo.com,567,57,67
IwpNj74jB,#奶爸鸡汤辟谣系列# 028人丑就要多读书，有没有道理？人丑就要多读书，大概的意思有三层：1，多读书，可以帮你赚到钱，2，多读书，可以帮你提升气质，从而把妹，3，多赚钱，可以帮你提升气质，从而把妹。以上三层意思，统统都是狗屁。1，多读书并不能帮你赚到钱，赚钱和读书之间没有线性关系，2，多读书并不能帮你提高气质，气质的提高还是主要靠外形，3，多赚钱可以帮你提高气质，但不是人丑才需要赚钱，人长的漂亮一样需要赚钱。知道自己脸不行，那就在形象上下工夫，多去健身房，学会怎么穿衣服，剪个合适的发型，学会护肤跟打扮，注意坐姿站姿和行走姿态，从自己说话的语气，声调上入手，锻炼自己的发声，注意自己的谈吐等等。有关这个在The Game的第一章还是第二章里，作者Neil Strauss有详细的描述，他的形象一直很糟糕，头发稀疏，五官不够俊朗，身板太过单薄，穿的不够鲜亮，说话语速过快，有的时候语无伦次没法跟人很好的沟通。他为了改变形象做出了很大的努力，花了大半年时间，即便最后从五官上说还是个average looking guy，也就是所谓的6分，但是整体的气势和形象也比以前有大大提升在学习上下的努力和功夫，跟在形象上下的努力和功夫是两件南辕北辙的事，不要把这两件事混为一谈。大部分人都是普通人，不美不丑，在普通的基础上，是可以提升的，日常简单的生活习惯和整洁大方的穿搭就可以提升不少，用不着花太多钱，但也不要妄图靠读书来掩饰自己丑陋的外表，这没屁用。                原图                            ,http://wx2.sinaimg.cn/large/94900170gy1gccgbxsjznj21hc0u0qv5.jpg,无,无,2020-02-29 10:50,微博 weibo.com,695,145,92
IwpMyqzsd,奶爸您好，我有个疑问，就是您指的美女，是漂亮到哪种程度的女孩子。我在上海大学读大一，据我观察身边的同学，大家都蛮好看的，至少是不丑，高中时不算好看的同学通过化妆穿搭也看起来像个小美女。还是说青春女自带三分姿色，现在还没到检验颜值的年龄?如果说判断美女的标准是追求者的质量和数量，我感觉女生个人的能力，层次，涵养对她遇到什么样的追求者发挥着不吝于颜值的作用。（我之前做过一个实验，把自己的无修无p自拍放到虎扑上，然后收到了近300条回复，20多条搭讪私信，100多个陌生人关注，一个相貌平平的女孩子都这个样子，可想而知美女，大美女们生活中会被怎么垂涎，但从引起垂涎到让优质男想要与之共同生活肯定需要很多重要的东西吧。）答：这个就是那句老早的道理，叫“网络防沉迷”。梁静茹的演唱会我去过，万人大场，一万个人把体育馆塞的满满当当，聚光灯一打，那种万众围绕的眩晕感，站在舞台中央，普通人简直可以说是达到了虚荣心的癫狂极致，也就大明星才有足够的定力平息这种浮夸。但是在网上的虚拟世界里，随便什么人都可以享受这种浮夸。你看我右边的关注数字，比梁静茹的万人演唱会的人数还要多一百倍。可我在现实中有梁静茹厉害吗，有她受欢迎吗？恐怕连亿分之一都没有。这一点我还是很清醒的，我明白自己的现实成绩，作品，比如课程，书籍，公司，口碑，还不够，还属于努力奋斗期，而不是收获大成期。但是很多小同学就不是这么想的。因为投稿是女孩，这里只说女孩——在知乎，虎扑这种直男聚集，极度饥渴的地方，任何一个普通人都能吸引到一堆人追求。在微博你精修各种照片，勤奋努力更新，关注数量最多几百。去知乎你随便答个问题爆爆照片，点赞瞬间过万。可回到现实中，又咋样呢？一年新认识的异性数量，恐怕不会超过五个。真实邀约自己的异性，恐怕不会超过3个。不要拿虚拟感觉，来影响自己现实的判断和自我认知。为什么普通人会有自己受欢迎的错觉，会浪费时间思考情情爱爱的问题？因为一方面情情爱爱是人性的弱点，谁都喜欢享受和消费，都不喜欢辛苦创造，另一方面就是社交网络给人造成了自己很受欢迎，很优质，很值钱的错觉，有一种错误的正向反馈，从而忽略了其它更重要的事情，整天就想着什么颜值，优质对象，感情关系这种低价值的玩意儿。可现实是：大部分人就是普通人。普通人就不要妄想着有优质对象来爱自己。更不要妄想着自己改变了，提高了，就有优质对象来爱自己。不如让自己变优质，然后自己爱自己。题主提到的什么能力，层次，涵养确实很重要，但这些东西的目标不是为了让优质男生来爱你，而是赚到钱，有事业，得到权势和地位。年轻人不要整天沉迷情情爱爱，应该爱他妈谁谁，有没有男生追无所谓，拉倒。爱美不是坏事，但不要百分百全部精力都用来爱美，于别的正事就一团浆糊，宛如梦游。至少把7成以上的时间用来忙正事，要集中精力忙正事，努力去追求事业，权势，地位，和影响力，尤其是在大学期间，就要做好准备，我们平时聊职场，聊方法，聊实习，很少有人参与讨论，一旦聊什么颜值，感情这种很低价值的东西，大家就像看见狼吃肉，兴致勃勃，这是非常错误的。这很重要，等你到了30岁，35岁，你会感激我说的这番话。                                ,无,无,无,2020-02-29 10:48,微博 weibo.com,2202,297,168
IwlcaE2QB,啥叫被动收入？就是完全不需要你投入任何时间和精力的，就叫被动收入。从这个意义上来说，炒股不算被动收入，因为你需要精研十年（全职），才能成为一个交易员，之后每天都要阅读大量材料。基金也不算，因为高风险的基金需要你时刻盯着，看信息，各种分析。小风险的基金，就算被动收入，但收入太少了。除非你有一千万，一年4%，40万，但真有一千万，投资房产比这个收益大多了。巴菲特说他不懂炒股，从某种意义上来说确实是对的。因为他的伯克希尔－哈撒韦公司，是世界上最大的保险公司。整个工资自运转。从销售，产品研发，后台研发，投资交易，都有团队在做，每个团队各个级别都有高手在管，一层层向上负责，他基本不用坐班，天天到处游玩，旅游，钱也源源不断进账。他的老朋友比尔盖茨，也是一样，微软CEO都换了两任了，别人996别人干去，我爽了。‘马云也是一个道理。马化腾家族每年更是能有个百亿的现金进账，他们的收入组合非常简单，腾讯的分红+股票的套现，然后投资到房产上去——众所周知马喜欢去香港买别墅。因此除了房产外，把自己的事业做大，让其自运转，确实是最好的被动收入。这个就给创业者提出了一个非常严峻的问题：你的公司是否可以自运转。不能自运转，就永远不算财富自由。举个简单例子，我每天都要在微博更新，是因为我的事业就无法自运转。我仍然需要投入大量的时间精力，才能维持关注的增长。想解决这个方法也简单，就是出书，大量的出书，图书市场每年都会固定的销量售出，那么就会有自然增长的力量，这些就不需要我投入时间和精力了。否则就必须永远在微博和大家扯“被动收入”的蛋，而自己永远无法有被动收入。                                ,无,无,无,2020-02-28 23:07,微博 weibo.com,593,78,86
IwkGLoY27,面试绝对禁忌语：「虽然我没有经验，但是我非常愿意学习」学习能力口说无凭需要证明的，在没来面试之前其实就可以通过官网和谷歌，搜索到该公司该行业的产品，地位，财报，竞品，市场策略，以及职位，职能和各种要求，这个通过网络基本都能了解一二，就算对这个公司不熟，起码对该行业和该职位应该会有一个足够深入的了解（尤其是对应届生来说）但是如果在面试的时候完全没有体现出这些信息，同时又口口声称自己学习能力强愿意学习，也就是说口头宣誓和事实完全相反，这个时候绝对是大减分。面试答问的基本逻辑是：多做证明类阐述，坚决不做结论式阐述。也就是，不要说自己什么吃苦耐劳，学历能力强，热爱该行业该职位等等，而是应该多想想自己有哪些经历，知识储备，以及完成的项目和事例等，可以证明自己有这类能力素质。                原图                            ,http://wx1.sinaimg.cn/large/94900170gy1gccge3wczqj21hc0twab4.jpg,无,无,2020-02-28 21:50,微博 weibo.com,1310,421,107
Iwky6abb8,就业对于个人来说是个微观问题，不是宏观问题。宏观问题是留给专家和国家思考的，你思考没用，思考的再好也无助于帮你找工作。举个例子吧：众所周知2000年到2010年是我们的黄金十年，那时候毕业了，都很容易找工作是不是？你家里都有哥哥姐姐或者叔叔阿姨啥的，你去问问，为啥黄金十年，你咋混的这么怂呢？那时候全中国的大学里，最流行的思潮是新东方的，最流行的图书是徐小平的。《图穷对话录》，《邮箱里的灯光》等等，全是有关职业规划人生设计的。为啥会这样？因为经济再好，能找到满意工作的人，也永远是极少数。这个道理其实反推也可以。经济再差，也总有那么一小撮人，能找到工作。企业永远需要人才，这个道理亘古不变。研究大势对你来说一点用都没有。如何努力成为那一小撮，才是最重要的。                原图                            ,http://wx4.sinaimg.cn/large/94900170gy1gccfrdddl2g20b4068k83.gif,无,无,2020-02-28 21:28,微博 weibo.com,674,94,74
Iwk4Sfx91,刚有个男性网友和我探讨了一下，女孩要不要结婚的问题。大概意思就是，我收入高，给的建议有点“不切实际”，大部分女生还是要结婚的。靠婚姻才能实现生活安居乐业，和经济方面的宽裕。我知道很多博主都这个观点。这个观点有个问题就是：这件事成立的前提是，你得是美女。不是美女，靠婚姻实现经济方面的宽裕，完全不可能。可大部分人恰恰不是美女。本博的性质以前说过很多次了，这里再重申一遍：假设我们简单粗暴的把人分为上中下三个层次。上是不需要帮助的，也没必要看我这些玩意儿，你们这些人自然会过的好。不管是家里有钱的，脑子聪明的，能力强的，还是长的漂亮的。再坏也不会坏到哪去。下其实看了也没用，因为是身边环境的问题。当然，正处于下的人，基本也没这个心思还刷微博。大部分人，都是普通人，都是不美不丑不高不帅不穷不富的普通人。也就是看到这条微博的你和我。恰恰也就只有普通人，才有帮助的意义——这就是教育的最大价值所在。普通人的遭遇，会随着人生遭遇和运气的变坏，而无限的变好或者变坏。这个时候哪怕有一段话，给ta一些启发，都会让ta的人生实现正向循环。这是本博最大的意义。而普通人，不能乱参考别人意见，尤其是人生规划类问题。事实上，我都不敢给别人规划——你看我从不劝人结婚，更不劝人丁克。我只是提供方法，你想结婚，我告诉你找到理想伴侣的方法，你不想结婚，丁克，我告诉你抗风险的办法。方法，比观点和建议要重要百倍。尤其是涉及颜值因素的问题，大部分人其实都是既自大又自卑的，经常看着自己觉得自己超好看，偶尔又非常不自信极度掩饰。明明是个普通人，却老是觉得自己美若天仙优秀到了骨子里。因此对外界的境遇抱有不切实际的幻想。我觉得点破这些真相，不是啥坏事。比如今天那条：“大部分人干的也不好，嫁的也很惨。”这是事实，承认事实没啥不好的。                                ,无,无,无,2020-02-28 20:16,微博 weibo.com,3879,184,410
IwjSjA901,主业没做好就别想什么副业了。销售业绩最重要，没别的！ 原图,http://wx1.sinaimg.cn/large/94900170ly1gcccs0eltxj20u01jutu2.jpg,无,无,2020-02-28 19:45,iPhone 8 Plus,427,10,56
IwjPvxQQ8,如何进入四大做数据分析方面的咨询。总结下就是英语好，有人脉推荐。 原图,http://wx2.sinaimg.cn/large/94900170ly1gccckrqqcfj20u02sy7wh.jpg,无,无,2020-02-28 19:39,iPhone 8 Plus,543,86,77
IwjMY6bdZ,每个大公司都是一座巨大的资源宝库，所需要的仅仅是微笑打招呼，送零食送特产，团建积极活跃，广交朋友加微信而已。在这种好地方还抱怨圈子就巴掌大，真的需要反思的。 原图,http://wx3.sinaimg.cn/large/94900170ly1gcccd6pkzkj20yi2201ky.jpg,无,无,2020-02-28 19:32,iPhone 8 Plus,416,73,73
IwjGlC3ZC,答应我年轻人，请永远不要借网贷 原图,http://wx1.sinaimg.cn/large/94900170ly1gccbxdna3pj20u01rie1z.jpg,无,无,2020-02-28 19:16,iPhone 8 Plus,1178,55,248
IwjzPoazb,投资界有两尊大神，徐翔和刘强。前者坐牢后者跳楼。这两人都不是普通人，前者共220亿净资产，100多亿现金，后者也有几十亿。为什么会有这个下场，就是不知足，想要更多，选择不稳定，想走风险更大更赚的路线。他们不是冒险才有的几百亿，而是有了几百亿后，还是去冒险。很多人都这样，哪怕几十亿了，也不去做一些稳定的营生，不去降风险，而是盲目拥抱风险。徐翔和刘强都是绝对的人中龙凤，智力能力至少是前0.000001的那种，一千万人里也就出一个，他们面对风险都毫无抵抗力，你觉得你呢？想从体制跳槽，不算风险大。盲跳，没方向，就想跳，这是最危险的。大部分人应该先知足，感恩自己的待遇，以你们的能力有这样不错了，不要让现状变坏，才最重要。                原图                            ,http://wx2.sinaimg.cn/large/94900170ly1gccb934zpgj20yi1wodv0.jpg,无,无,2020-02-28 19:00,iPhone 8 Plus,497,30,96
Iwjw8Eqw3,广结善缘的重点不在届，而在善。截图里的属于孽缘，我根本不会想着处好关系，而是根本就不处关系，装傻充愣。 原图,http://wx3.sinaimg.cn/large/94900170ly1gccb573lq7j20u01hc1bh.jpg,无,无,2020-02-28 18:51,iPhone 8 Plus,596,30,33
IwjuIAloN,兴趣爱好说白了就是乐子，玩，消遣，喜欢可以。因为兴趣爱好父母，产生了自己有能力很优秀的错觉就不好了。成年人的社会不看你会多少事情，只看你把某一件事情做的有多好。比如戏剧街舞健身英语，玩玩没啥用。如果有个上财同学这些都不会，但专业特别好，财务和金融专精，那么他毕业注定会秒杀你的。想上进想飞黄腾达，重点不是兴趣爱好，而是某一或两项项技能专精。另此人发给我照片了，并不是大肌霸，建议不要认为自己“会健身所以优秀”。                原图                            ,http://wx3.sinaimg.cn/large/94900170ly1gccb39a49aj20u02944qp.jpg,无,无,2020-02-28 18:47,iPhone 8 Plus,394,51,62
IwjaUghfl,站着工作，我发现效率奇高。 [组图共2张]原图,"http://ww4.sinaimg.cn/large/94900170ly1gcc9obelyqj20u01hcalr.jpg,http://ww1.sinaimg.cn/large/94900170ly1gcc9p4ov9hj22c0340b29.jpg",无,无,2020-02-28 17:58,iPhone 8 Plus,469,56,161
Iwj95DvkB,成年子女和父母财务不相互独立的危害，唉…… 原图,http://wx3.sinaimg.cn/large/94900170ly1gcc9k7n8gpj20u01hc1a0.jpg,无,无,2020-02-28 17:54,iPhone 8 Plus,1225,21,172
Iwj6ZDZEk,working with people sucks 原图,http://wx2.sinaimg.cn/large/94900170ly1gcc9eiewdwj20u00wvwrd.jpg,无,无,2020-02-28 17:49,iPhone 8 Plus,325,7,23
Iwj5dr83a,思考问题过于宏观的人，其实都是在逃避当下，不思考眼前，甚至眼前有哪些事可以做都不知道，不分析。 原图,http://wx4.sinaimg.cn/large/94900170ly1gcc98syuppj20yi43n7wh.jpg,无,无,2020-02-28 17:44,iPhone 8 Plus,427,76,42
IwiYHuMQD,刘銮雄太太扫货，半小时消费六位数，相当于半小时挑了只爱马仕呗。为啥她们家这么能挥霍？看一个数据：刘銮雄在大陆的物业出租，每年大概是4000-5000万元。这些是刘的公司，股票，房产，珠宝之外的被动收入。他就算全部花光，也根本不心疼，这不是血汗钱，有跟没有无所谓。他年轻时候开风扇厂，身家过亿一件4000块大衣舍不得买，因为那时候收入渠道只有一个，工厂贸易，卖货得利，剩下的要扩大再生产，赚的都是血汗钱，都必须投入时间和精力。只要是你投入时间和精力，而不是自动生产的收入，那么都应该珍惜，一定要节俭。                                ,无,无,无,2020-02-28 17:28,微博 weibo.com,784,110,75
