微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IwbjFxXHE,#奶爸鸡汤辟谣系列#026奶爸请问一个问题，之前网上有一个新闻是说阿里巴巴里面有一个女高管，原来是做文员的，就是帮忙打杂印材料什么的，然后就顺便帮别人定在一起，整理好。从小事上面做的特别的细致，特别的好，然后被上级主管注意到了，最后做到了主管的位置，所以说做行政支持岗其实也是可以做的很好的吗？这个鸡汤概括下就是：把手头的事情做到极致，你就会自然发光，不论多么差的岗位，都能迎来春天。这个故事大概率是真的，不过这里有一个问题。大部分小白，对于：手头的事情这个概念，理解有很大偏差。我这种老油条一看就知道。手头的事情做到极致，这个事情分两类：1，把行政杂事处理好，2，把老板马屁拍好，在公司里广结善缘，人人都认识，人人都喜爱。大部分小白只能理解到第一层次，所以这辈子活该做牛做马。故事里的什么女文员，打印材料细心，帮忙，被上级注意到，最后做了主管，然后逐步升职。这里最重要的地方是“被上级注意到”，而不是“打印材料细”。没有被上级注意，你活做出花来也没屁用。而且职场上根本就不存在，我活做的好，上级自然会注意到我这种好事，想多了。上级很忙的，根本不会翻你牌子，爱干干，不干滚。这个还是我们的高层关系理论。把工作做好，效率最大化，和跟上司搞好关系，和同事搞好关系，和办公室大家搞好关系。是两码事。是两个系统，两套方法。都需要精通。希望我说的足够明白了。                原图                            ,无,2020-02-27 21:58,微博 weibo.com,358,52,51,http://wx2.sinaimg.cn/large/94900170gy1gcbb05xgi2j20jg0ax74t.jpg,无
IwbfPDtxe,拆迁户的问题，超纲了，我没这个体验。欢迎房产高手来答。 原图,无,2020-02-27 21:49,微博 weibo.com,543,16,156,http://wx2.sinaimg.cn/large/94900170gy1gcbaqbg80zj20hs12i1gc.jpg,无
IwbeE3KtF,奶爸，你总说富人先购买资产，用资产自动产生的收益，我认同这个观点，可是穷人的储蓄和资源有限，怎样才像富人那样钱生钱答：20多岁的时候，工资永远是你收入的大头。这个时候重点研究求职，升职，适度理财和储蓄——以及佛系运营自媒体。但这时候大头仍然主要是打工。我们提到的什么升维降...全文,无,2020-02-27 21:46,微博 weibo.com,522,154,161,无,无
IwaK55GqA,现在咋啥样的垃圾都能成老师？这个老师所谓的赚钱，无非就是死工资，做兼职，没一个是资产和现金流收入。不断的打工，不断的省吃俭用买贵重物品，永远没有积蓄，买不起房，不敢创业，做不了产业，收不了租，一辈子如同无根浮萍，永远不敢辞职，仿佛条被铁链牢牢拴住的狗，过了40多体力衰弱了，干不动了，朝不保夕，动荡凄惨。她应该庆幸自己有编制，如果没编制，年纪稍大点，真的狗都不如。资本家最爱这种傻逼人肉干电池，正确的做法是什么？富人先购买资产，用资产自动产生的收益再来购买奢侈品，而中产和穷人最热衷于用自己打工的血汗钱来购买奢侈品。问题在于如果你真的买了两套房，开始收租的时候，所有的“消费陷阱”，都不容易骗到你。因为体验到了“资产”的好处，然后对消费就没啥太大感觉了，会不自觉的想要继续投资，继续钱生钱。                原图                            ,无,2020-02-27 20:30,iPhone 8 Plus,1120,127,182,http://wx4.sinaimg.cn/large/94900170ly1gcb88gkdbvj20ty0vaakq.jpg,无
IwaCHDCuL,反正我注定买不起房，那不如买买奢侈品让自己开心开心。这种观点让我想起了那个著名笑话：你今年45岁了，抽烟几十年，要是不抽烟省下钱，现在都买得起法拉利了。医生你抽烟不？不抽啊。那你法拉利呢？就停在楼下，咋了？——————————————————————人生这么长，20多...全文,无,2020-02-27 20:12,iPhone 8 Plus,1205,101,125,无,无
IwavO7LU3,#奶爸鸡汤辟谣系列#025女孩收入达到多高时可以购买奢侈品？年轻女孩大部分都爱漂亮、爱赶时髦，会想偶尔买一些奢侈品点缀一下自己。但是奢侈品的价格确实不菲，女生应该在达到多少收入（或有持有多少存款）时才算合理地购买奢侈品？特别对于刚开始工作的女生来说，购买奢侈品算过分（或逞强）...全文原图,无,2020-02-27 19:55,微博 weibo.com,1556,553,305,http://wx1.sinaimg.cn/large/94900170gy1gcb7gbn7jgj20gx0cpn02.jpg,无
IwajxvwSR,#奶爸鸡汤辟谣系列#024好看女孩自带烧钱属性。本鸡汤为假。好看的女孩自带省钱属性：皮肤天生白皙光洁，不需要花钱买太多护肤品化妆品，头发天生黑亮发量多，不需要花钱植发护发素，身材好，天生臀翘胸大腰细，随便练两周马甲线就出来，不需要浪费钱报私教课，穿什么衣服都好看，不需要费尽心机和时间琢磨搭配和买大牌服饰。只有本身不那么好看，又想变好的女孩，才要烧钱。皮肤不太好，花钱护理，头发不太好，花钱护理和植额角，身材不太好，花钱运动。颜值气质不佳，花钱买昂贵衣物包首饰，打理形象。但是变美这种事，终究是有极限的，靠外力，不论如何也不可能成为大美人。不要指望靠外力。良好作息，早睡早起，适度运动，充足营养，保持好苗条有力，学会基本的平价穿搭，外表整洁干净，大方得体即可。一边节衣缩食的买着昂贵的神仙水，一边熬夜导致内分泌失调满脸大油光，正在做这种事的人，不在少数。最重要的是：有钱了，可以肆意追求变美，没钱，就接受自己，做好预期管理，想办法变有钱，再追求美。这个逻辑不能反过来。要量力而为，这是最重要的。人生最糟糕并不是不美，大家都是颜值普通人。最糟糕的是没继续，没存款，全部都是大牌收割完毕，一丁点抗风险能力都没有。朴素也是美，爱惜自己就是美，不要把花钱无度，和变美捆绑在一起。量力而为。                原图                            ,无,2020-02-27 19:25,微博 weibo.com,1601,158,227,http://wx4.sinaimg.cn/large/94900170gy1gcb6kj9yqaj20dw0dwtdv.jpg,无
Iwa96kzpS,有关下属跟领导出门吃饭，要端茶倒水此后到位的说法，补充两句：自尊越高的人，架子其实放的越低，自尊越薄弱人格越低的人，架子反而放的越高，动不动一点小事就无限拔高。吃饭时候做东，给人端茶倒水照顾到位，这种事我一直都做，从我进入职场第一天就做，一直做到现在。是的没错哪怕我现在有自...全文原图,无,2020-02-27 18:59,微博 weibo.com,684,93,89,http://wx4.sinaimg.cn/large/94900170gy1gcb5u2j2qjj20u01hc7ch.jpg,无
Iwa1RfvyF,领导的酒局不是让你去发挥的，而是让你去伺候领导的，乖乖当好服务员，端茶倒水，迎来送往，笑脸对待。 原图,无,2020-02-27 18:41,微博 weibo.com,1514,85,243,http://wx4.sinaimg.cn/large/94900170gy1gcb59hpej7j20u01hcqa9.jpg,无
微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IjdvMbxVE,[置顶]亲爱的网友你好呀，欢迎你关注恶魔奶爸。这里是一位教育问答类博主，开微博主要是为了分享一些浅薄的人生经验，涉及工作，学习和生活的方方面面。期待未来我们可以互相学习，多多交流，共同进步。为了让您更好的理解和运用实践本博的一些方法经验，欢迎阅读以下的自我介绍：1，本博分享的重点内...全文[组图共4张]原图,无,2019-12-04 15:39,iPhone 8 Plus,1876,152,264,"http://ww1.sinaimg.cn/large/94900170gy1g9kqit2qh5j209k09kt8o.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd6sjjkj20u01hc7lh.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd7bic1j20ku112ajy.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd8a0t4j20u01hck6b.jpg",无
IwbjFxXHE,#奶爸鸡汤辟谣系列#026奶爸请问一个问题，之前网上有一个新闻是说阿里巴巴里面有一个女高管，原来是做文员的，就是帮忙打杂印材料什么的，然后就顺便帮别人定在一起，整理好。从小事上面做的特别的细致，特别的好，然后被上级主管注意到了，最后做到了主管的位置，所以说做行政支持岗其实也是可以...全文原图,无,2020-02-27 21:58,微博 weibo.com,379,57,55,http://wx2.sinaimg.cn/large/94900170gy1gcbb05xgi2j20jg0ax74t.jpg,无
IwbfPDtxe,拆迁户的问题，超纲了，我没这个体验。欢迎房产高手来答。 原图,无,2020-02-27 21:49,微博 weibo.com,571,17,162,http://wx2.sinaimg.cn/large/94900170gy1gcbaqbg80zj20hs12i1gc.jpg,无
IwbeE3KtF,奶爸，你总说富人先购买资产，用资产自动产生的收益，我认同这个观点，可是穷人的储蓄和资源有限，怎样才像富人那样钱生钱答：20多岁的时候，工资永远是你收入的大头。这个时候重点研究求职，升职，适度理财和储蓄——以及佛系运营自媒体。但这时候大头仍然主要是打工。我们提到的什么升维降...全文,无,2020-02-27 21:46,微博 weibo.com,561,170,166,无,无
IwaK55GqA,现在咋啥样的垃圾都能成老师？这个老师所谓的赚钱，无非就是死工资，做兼职，没一个是资产和现金流收入。不断的打工，不断的省吃俭用买贵重物品，永远没有积蓄，买不起房，不敢创业，做不了产业，收不了租，一辈子如同无根浮萍，永远不敢辞职，仿佛条被铁链牢牢拴住的狗，过了40多体力衰弱了，干不动了，朝不保夕，动荡凄惨。她应该庆幸自己有编制，如果没编制，年纪稍大点，真的狗都不如。资本家最爱这种傻逼人肉干电池，正确的做法是什么？富人先购买资产，用资产自动产生的收益再来购买奢侈品，而中产和穷人最热衷于用自己打工的血汗钱来购买奢侈品。问题在于如果你真的买了两套房，开始收租的时候，所有的“消费陷阱”，都不容易骗到你。因为体验到了“资产”的好处，然后对消费就没啥太大感觉了，会不自觉的想要继续投资，继续钱生钱。                原图                            ,无,2020-02-27 20:30,iPhone 8 Plus,1148,132,184,http://wx4.sinaimg.cn/large/94900170ly1gcb88gkdbvj20ty0vaakq.jpg,无
IwaCHDCuL,反正我注定买不起房，那不如买买奢侈品让自己开心开心。这种观点让我想起了那个著名笑话：你今年45岁了，抽烟几十年，要是不抽烟省下钱，现在都买得起法拉利了。医生你抽烟不？不抽啊。那你法拉利呢？就停在楼下，咋了？——————————————————————人生这么长，20多岁的人多长点脑子，多想想自己四五十岁时候的生活，比现在过一天是一天要强。                                ,无,2020-02-27 20:12,iPhone 8 Plus,1219,105,127,无,无
IwavO7LU3,#奶爸鸡汤辟谣系列#025女孩收入达到多高时可以购买奢侈品？年轻女孩大部分都爱漂亮、爱赶时髦，会想偶尔买一些奢侈品点缀一下自己。但是奢侈品的价格确实不菲，女生应该在达到多少收入（或有持有多少存款）时才算合理地购买奢侈品？特别对于刚开始工作的女生来说，购买奢侈品算过分（或逞强）...全文原图,无,2020-02-27 19:55,微博 weibo.com,1591,575,309,http://wx1.sinaimg.cn/large/94900170gy1gcb7gbn7jgj20gx0cpn02.jpg,无
IwajxvwSR,#奶爸鸡汤辟谣系列#024好看女孩自带烧钱属性。本鸡汤为假。好看的女孩自带省钱属性：皮肤天生白皙光洁，不需要花钱买太多护肤品化妆品，头发天生黑亮发量多，不需要花钱植发护发素，身材好，天生臀翘胸大腰细，随便练两周马甲线就出来，不需要浪费钱报私教课，穿什么衣服都好看，不需要...全文原图,无,2020-02-27 19:25,微博 weibo.com,1628,162,232,http://wx4.sinaimg.cn/large/94900170gy1gcb6kj9yqaj20dw0dwtdv.jpg,无
Iwa96kzpS,有关下属跟领导出门吃饭，要端茶倒水此后到位的说法，补充两句：自尊越高的人，架子其实放的越低，自尊越薄弱人格越低的人，架子反而放的越高，动不动一点小事就无限拔高。吃饭时候做东，给人端茶倒水照顾到位，这种事我一直都做，从我进入职场第一天就做，一直做到现在。是的没错哪怕我现在有自...全文原图,无,2020-02-27 18:59,微博 weibo.com,700,95,90,http://wx4.sinaimg.cn/large/94900170gy1gcb5u2j2qjj20u01hc7ch.jpg,无
Iwa1RfvyF,领导的酒局不是让你去发挥的，而是让你去伺候领导的，乖乖当好服务员，端茶倒水，迎来送往，笑脸对待。 原图,无,2020-02-27 18:41,微博 weibo.com,1551,89,248,http://wx4.sinaimg.cn/large/94900170gy1gcb59hpej7j20u01hcqa9.jpg,无
Iw9ZIdd86,#奶爸鸡汤辟谣系列#023奶爸，您好！从TED看到“每个人都有自己生活的节奏，不要让外界去打乱你”，评论下面还都是认同的声音，似乎这样的人生才精彩。但是从我自己得经历以及最近看您的微博来看，我觉得要想过的好一些的确需要按一些公式去做，比如：高中就应该好好学习，考个大学，大学就得实习，了解商业知识，提前做好毕业准备…要是不这样去做，我发现生活就会很艰难，想问一下您对这句话怎么看？答：道德经第五章：圣人不仁，以百姓为刍狗。整个人类历史，基本就是由极少数“圣人”往前推动的，百姓的作用就是刍狗，被煽动着利用做事，形成势力，宰杀了来吃。说白了就是镰刀和韭菜的关系。少部分圣人成长起来，大部分人从小就是陪太子读书，说好听点叫消费市场，其实就是韭菜。所以为什么会有大量什么个人幸福感，什么自己的生活节奏这类鸡汤话语？因为真相太黑暗，太可怕，刍狗们接受不了，只能编出点屁话让刍狗们觉得心理舒适，然后继续自由自在的混吃等死当个造粪机器。你不能和刍狗们谈真实。真实是什么？创业就是比打工有价值，创业者必然比打工者平均素质高，考名牌大学的智商就是高，考不上的智商就是不高，赚到钱的，必然比赚不到钱的要优秀，搞科学发明，学术研究，商业事业，必然比什么周游世界诗和远方感悟人生来的高级。想过的好一些就是必须按公式去做，比如：高中就应该好好学习，考个大学，大学就得实习，了解商业知识，提前做好毕业准备…要是不这样去做，生活就一定会很艰难！人要参差百态，多元化，人各有志，但事实就是：创造永远比消费高级，进取永远比享受优越。“每个人都有自己生活的节奏，不要让外界去打乱你”这种话，拿过来稍微改改，立刻就成为旅游app和gap year的广告标语，呼吁着一大堆人去毕业放空自己，多见见这个世界。你看，完美~如果你不想停留在刍狗阶段，不论你的能力有没有达到圣人的等级，最起码，你可以看清真实，面对真实，接受真实。接受自己是刍狗的现实，最起码有利于你做到这两点：未雨绸缪，亡羊补牢。而不是听着鸡汤，正事不干。                原图                            ,无,2020-02-27 18:36,微博 weibo.com,461,123,76,http://wx4.sinaimg.cn/large/94900170gy1gcb55g2fxoj21hc0u0b29.jpg,无
微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IjdvMbxVE,[置顶]亲爱的网友你好呀，欢迎你关注恶魔奶爸。这里是一位教育问答类博主，开微博主要是为了分享一些浅薄的人生经验，涉及工作，学习和生活的方方面面。期待未来我们可以互相学习，多多交流，共同进步。为了让您更好的理解和运用实践本博的一些方法经验，欢迎阅读以下的自我介绍：1，本博分享的重点内...全文[组图共4张]原图,无,2019-12-04 15:39,iPhone 8 Plus,1876,152,264,"http://ww1.sinaimg.cn/large/94900170gy1g9kqit2qh5j209k09kt8o.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd6sjjkj20u01hc7lh.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd7bic1j20ku112ajy.jpg,http://ww3.sinaimg.cn/large/94900170gy1g9kqd8a0t4j20u01hck6b.jpg",无
