微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
IpX8v8Rxd,南方之山  原图 ,无,2020-01-17 22:50,iPhone 6s,20,1,11,http://wx4.sinaimg.cn/large/83393bb5gy1gazy3q2nibj22c0340hdw.jpg,无
IpNfrlIAJ,观念改变、文化改变，带来筛选机制的改变。从前拒绝的，现在被接纳了，从前认为外部环境不安全，现在可以安心接收外部信息了。封闭起来，不是积累的东西封闭了，而是筛选机制老化了、对外界刺激关闭了。文化为什么先行？因为要改变筛选机制，筛子要换，自然选择机制要换。这才是社会协作里最重要的。对个人而言，同样要观念先行，观念先要转变。个人一开始有什么，不是那么重要；重要的是一开始怎么选择，接受什么、不接受什么，放什么信息进来，筛什么信息出去。先改变观念，改变固执己见的封闭思维模式，再吸收新技术新思维，增加新的实力。如果观念封闭、思维僵硬，什么都是自己对别人错、自己心善别人心狠，那么，这样就一直是自我封闭起来的刺猬。转变观念，要多看、多跑、多看案例、尤其多看数据，始终相信多样性，始终关注新奇性。                                 ,无,2020-01-16 21:40,微博国际版,244,433,45,无,无
IpN0vBZrU,我们今天能以系统迭代的思维来看古代中国，把古代中国看作是一个探索进入货币经济而不得的多级经济系统，就是因为我们已经认为，经济持续增长、技术持续进步，是常态。我们以今天的经济状态为原型，去理解过去。然而，古代人并不会这样来理解自己。那时，技术进步很慢很慢，在他们眼里，只有周期律，社会循环往复，没有一轮轮的产业迭代升级。他们靠文官和僧侣来维持一个脆弱的生存与扩张的平衡。他们日常关注的就是制度、分配，而不是商业、生产。对他们来说，关注了后者也没多大用。我们的新理解，是为了找出过去人们不重视的、但已经存在在那里的因子，为将来的系统再升级换代，清理观念系统、准备思想条件。过去的一些要素存在了，但当时的人不重视、不理解它们在未来的可能用途，这奇怪吗？这简直是太正常了。演化的奇妙正在于我们后人可以将前人遗留的材料，换个维度重新使用，即exaptation。所以，前人不理解自己的一些作为，实属正常。所以，即便前人不理解，我们去回头看过去，依然有必要，因为某些要素已经在了，我们需要点亮它们、给予新的权重，再加上新的因素，一起组合，才能构造新的行动空间。                                 ,无,2020-01-16 21:03,iPhone 6s,96,49,20,无,无
IpM1qipxS,抽奖活动来啦！近期我接触了冲牙器（又称水牙线），对牙齿健康有了更多了解，希望大家也能在新的一年更加关注自己的牙齿健康啊！现在，萌牙家提供赞助，我们来一次抽奖活动。在此贴下对牙齿健康话题进行评论，抽一位送同款冲牙器1台（图1）；关注 + 转发此贴，抽一位送电动牙刷1支（图2）。1月18日（周六）通过 @微博抽奖平台 抽奖。 抽奖详情             [组图共2张]      原图                             ,无,2020-01-16 18:33,微博国际版,35,91,155,"http://ww3.sinaimg.cn/large/83393bb5gy1gayl1gm0dbj20u01am40y.jpg,http://ww4.sinaimg.cn/large/83393bb5gy1gayl1gbw79j20l40l440e.jpg",无
IpDK8o5un,打开书箱看到它的那一刻，我跪了。果然！三年前，或者四年前，我就买了这本书。收进了箱子里，没看！！这可是世界最顶级的工业革命论著啊！无知真可怕  原图 ,无,2020-01-15 21:28,微博国际版,181,85,25,http://wx3.sinaimg.cn/large/83393bb5gy1gaxkhoqqrpj22c03404qq.jpg,无
IpDr75udX,家里翻捡整理旧书。原来这本名著早已买过，躺在书箱里，从没看过它。直到2019年，我阅读加州学派的中国历史研究，才发现了这本著作，在别的地方读到了它。看封底，居然就有李伯重教授的评语。我也是近年才开始大量阅读李伯重教授的论著，精妙卓绝。当时就是不知道啊！有多少好书是当初买了却没有去读的？又看到一本，不，是一套，布罗代尔的三卷本15至18世纪的物质文明、经济和资本主义。当时看了第一卷，咬咬牙买了全套三卷，后面两卷都丢在那里了，再也没看。刚才翻到第三卷，这不正是在讲威尼斯、荷兰、英格兰的工商业历史么！原来好些年前，我已经在关注这类主题了啊！只是当时没有真的投入进去，书买了，就放在箱子里。知识不足，由来有自             [组图共3张]      原图                             ,无,2020-01-15 20:41,微博国际版,135,29,7,"http://ww3.sinaimg.cn/large/83393bb5gy1gaxj4wxegbj22c03401ky.jpg,http://ww1.sinaimg.cn/large/83393bb5gy1gaxj4wetibj22c0340hdu.jpg,http://ww2.sinaimg.cn/large/83393bb5gy1gaxj4vmkdlj231d1hfhdt.jpg",无
IpCMW2X0P,悲观者正确，乐观者成功。这是2002年科网泡沫破灭之后的应景之作。大名鼎鼎的写过1929年萧条的Galbraith也推荐。十几年过去了。2005谷歌上市。2007年iPhone问世。亚马逊一路向上。如今，纳斯达克指数早已突破2001年高点，屡创新高。2012年以来，科技股集中的纳斯达克指数涨幅也已经大幅超越传统工业股集中的道琼斯指数。还不信信息与通信技术产业革命？接下来很可能开启的新康波，继续将信息产业革命推进到智能产业的新层次。这个概率逐年增加。还要坚持固我忍心错过？还不把编程作为家族人力资本积累的常备技能？当然，人性不变，新兴大产业从萌发到兴奋过度、从泡沫破裂的低谷再到逐渐成熟以至于老化的节奏也没变。但是，时代变了。人性不变，不是悲观的理由。人性几千年几万年没变了，今天比起古代，人类的科技与产业进步，岂不是天翻地覆？过去一二十年，人性当然毫无变化，但这妨碍了信息产业变革吗？了解人性和群体行为的周期，有必要。但叹息人性的文章，不必看。那类文章很没劲。             [组图共4张]      原图                             ,无,2020-01-15 19:02,微博国际版,126,132,29,"http://ww1.sinaimg.cn/large/83393bb5gy1gaxg9vqtlhj21ld2itavm.jpg,http://ww4.sinaimg.cn/large/83393bb5gy1gaxg9xlo77j22c03401ky.jpg,http://ww1.sinaimg.cn/large/83393bb5gy1gaxg9vnlg1j20zk0lpgvl.jpg,http://ww2.sinaimg.cn/large/83393bb5gy1gaxgblgemlj20ey0e6jtm.jpg",无
IpqhM62Zm,中国在成为世界超级大国的大道上一路狂奔 可以再读一遍这篇文章哦：乘风破浪：迎接中国波澜壮阔的2020年代！  [组图共2张] 原图 ,无,2020-01-14 11:12,微博国际版,156,89,32,"http://ww3.sinaimg.cn/large/83393bb5ly1gavx2v76flj20ku0rhgoq.jpg,http://ww1.sinaimg.cn/large/83393bb5ly1gavx2vc3dzj20ku0rrju2.jpg",无
微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
微博id,微博正文,发布位置,发布时间,发布工具,点赞数,转发数,评论数,原始图片url,微博视频url
